	err:EOF while parsing a value at line 1 column 0
20	err:EOF while parsing a value at line 1 column 1
0a0a2020	err:EOF while parsing a value at line 3 column 2
6e756c6c	ok:null
74727565	ok:true
66616c7365	ok:false
206e756c6c20	ok:null
6e756c	err:EOF while parsing a value at line 1 column 3
6e756c78	err:expected ident at line 1 column 4
747275	err:EOF while parsing a value at line 1 column 3
74725565	err:expected ident at line 1 column 3
66616c73	err:EOF while parsing a value at line 1 column 4
66616c736579	err:trailing characters at line 1 column 6
6e	err:EOF while parsing a value at line 1 column 1
740a	err:expected ident at line 2 column 0
30	ok:0
2d30	ok:-0.0
31	ok:1
2d31	ok:-1
3031	err:invalid number at line 1 column 2
2d3031	err:invalid number at line 1 column 3
3030	err:invalid number at line 1 column 2
312e	err:EOF while parsing a value at line 1 column 2
312e6533	err:invalid number at line 1 column 3
2e35	err:expected value at line 1 column 1
2d	err:EOF while parsing a value at line 1 column 1
2d61	err:invalid number at line 1 column 2
2b31	err:expected value at line 1 column 1
3165	err:EOF while parsing a value at line 1 column 2
31652b	err:EOF while parsing a value at line 1 column 3
31652d	err:EOF while parsing a value at line 1 column 3
316578	err:invalid number at line 1 column 3
312e35	ok:1.5
2d312e35	ok:-1.5
316535	ok:100000.0
314535	ok:100000.0
31652d35	ok:0.00001
312e3235652b33	ok:1250.0
2d302e30	ok:-0.0
302e30	ok:0.0
313233343536373839	ok:123456789
3138343436373434303733373039353531363135	ok:18446744073709551615
3138343436373434303733373039353531363136	ok:1.8446744073709552e+19
31383434363734343037333730393535313631362e35	ok:1.8446744073709552e+19
3939393939393939393939393939393939393939393939	ok:1e+23
313834343637343430373337303935353136313539	ok:1.844674407370955e+20
2d39323233333732303336383534373735383038	ok:-9223372036854775808
2d39323233333732303336383534373735383039	ok:-9.223372036854776e+18
2d3138343436373434303733373039353531363135	ok:-1.8446744073709552e+19
2d3138343436373434303733373039353531363136	ok:-1.8446744073709552e+19
3165333038	ok:1e+308
3165333039	err:number out of range at line 1 column 5
312e3739373639333133343836323331353765333038	ok:1.7976931348623157e+308
312e3739373639333133343836323331353965333038	err:number out of range at line 1 column 22
2d3165333039	err:number out of range at line 1 column 6
31652d343030	ok:0.0
