tblTopology	g3|db-a:phoenix:Unknown;db-b:dallas:Unknown|42:db-a:::R[-]:M[-]:S[]#42:7,3:db-a:phoenix:ShardOwner:Write:3#g5|db-a:phoenix:Unknown;db-b:dallas:Unknown|42:db-b:::R[-]:M[-]:S[]#42:7,3:db-b:dallas:ShardOwner:Write:5#err:shard 999 is not in the routing table:false#err:coordinate (12,0) is outside the 12x13 grid:false
tblTopologyOrder	g5|db-a:r3:Unknown;db-c:r2:Unknown;db-m:r1:Unknown;db-z:r1:Unknown|1:db-z:db-c,db-m::R[-]:M[-]:S[];2:db-c:db-m::R[-]:M[-]:S[];3:db-z:db-m::R[-]:M[-]:S[]#g8|db-a:r3:Unknown;db-c:r9:Unknown;db-m:r1:Unknown;db-z:r1:Unknown|1:db-z:db-c,db-m::R[-]:M[-]:S[];2:db-c:db-m::R[-]:M[-]:S[];3:db-c:db-m::R[-]:M[-]:S[];7:db-c:::R[-]:M[-]:S[]#false#true#g11|db-0:r0:Unknown;db-a:r3:Unknown;db-c:r9:Unknown;db-m:r7:Serviceable;db-z:r1:Unknown|1:db-z:db-c,db-m::R[-]:M[-]:S[];2:db-c:db-m::R[-]:M[-]:S[];3:db-c:db-m::R[-]:M[-]:S[];7:db-c:::R[-]:M[-]:S[]#true#false#g12|db-0:r0:Unknown;db-a:r3:Unknown;db-c:r9:Unknown;db-m:r7:Serviceable;db-z:r1:Unknown|1:db-z:db-c,db-m::R[-]:M[-]:S[];3:db-c:db-m::R[-]:M[-]:S[];7:db-c:::R[-]:M[-]:S[]#7:0,0:db-c:r9:ShardOwner:Read:12#err:shard 7 has no live owner (considered: db-c):false#err:shard 1 has no live owner (considered: db-z):false#g13|db-0:r0:Unknown;db-a:r3:Unknown;db-c:r9:Unknown;db-m:r7:Serviceable;db-z:r1:Unknown|1:db-z:db-c,db-m::R[-]:M[-]:S[];3:db-c:db-m::R[-]:M[-]:S[];7:db-c:::R[-]:M[-]:S[]
tblReplicas	true#g4|db-a:phoenix:Unknown;db-b:dallas:Unknown|42:db-a:::R[db-a:primary:in-sync,db-b:secondary:in-sync]:M[-]:S[]#42:7,3:db-a:phoenix:Primary:Write:4#42:7,3:db-a:phoenix:Primary:Read:4;42:7,3:db-b:dallas:Secondary:Read:4#42:7,3:db-b:dallas:Secondary:Read:4#42:7,3:db-b:dallas:Secondary:Read:4;42:7,3:db-a:phoenix:Primary:Read:4#42:7,3:db-a:phoenix:Primary:Read:4;42:7,3:db-b:dallas:Secondary:Read:4#42:7,3:db-a:phoenix:Primary:Read:4;42:7,3:db-b:dallas:Secondary:Read:4#42:7,3:db-a:phoenix:Primary:Read:4
tblFailedPrimary	true#err:shard 42 has no in-sync primary to accept writes:false#42:7,3:db-b:dallas:Secondary:Read:4#err:shard 42 has no copy fresh enough for this read:false#true#err:shard 42 has no copy fresh enough for this read:false#42:7,3:db-b:dallas:Secondary:Read:5#g5|db-a:phoenix:Unknown;db-b:dallas:Unknown|42:db-a:::R[db-a:primary:failed,db-b:secondary:lagging]:M[-]:S[]
tblUnreachable	true#err:shard 42 has no live owner (considered: db-a):false#g4|db-a:phoenix:Unreachable;db-b:dallas:Unknown|42:db-a:::R[-]:M[-]:S[]#42:7,3:db-b:dallas:Secondary:Read:5#err:shard 42 has no live owner (considered: db-a):false
tblMigration	true#g4|db-a:phoenix:Unknown;db-b:dallas:Unknown|42:db-a:::R[-]:M[42:db-a:db-b:false:db-a]:S[]#42:7,3:db-a:phoenix:MigrationSource:Write:4#42:7,3:db-a:phoenix:MigrationSource:Read:4#g5|db-a:phoenix:Unknown;db-b:dallas:Unknown|42:db-a:::R[-]:M[42:db-a:db-b:false:db-a]:S[]#42:7,3:db-a:phoenix:MigrationSource:Read:5#42:7,3:db-a:phoenix:MigrationSource:Write:5#42:7,3:db-a:phoenix:MigrationSource:Read:6#err:shard 42 is fenced for cutover from 'db-a' to 'db-b'; retry:true#g6|db-a:phoenix:Unknown;db-b:dallas:Unknown|42:db-a:::R[-]:M[42:db-a:db-b:false:-]:S[]#42:7,3:db-b:dallas:MigrationDestination:Write:7#42:7,3:db-b:dallas:MigrationDestination:Read:7#42:7,3:db-b:dallas:MigrationDestination:Read:7#g8|db-a:phoenix:Unknown;db-b:dallas:Unknown|42:db-b:::R[-]:M[-]:S[]#42:7,3:db-b:dallas:ShardOwner:Write:8
tblAbort	g4|db-a:phoenix:Unknown;db-b:dallas:Unknown|42:db-a:::R[-]:M[42:db-a:db-b:false:db-a]:S[]#g5|db-a:phoenix:Unknown;db-b:dallas:Unknown|42:db-a:::R[-]:M[-]:S[]#42:7,3:db-a:phoenix:ShardOwner:Write:5#true#g1||42:db-a:::R[-]:M[42:db-a:db-b:false:db-a]:S[]#err:node 'db-a' holds a placement but is not in the routing table:false
tblRange	g6|db-a:phoenix:Unknown;db-b:dallas:Unknown|42:db-a::1,0>db-b,2,0>db-b:R[-]:M[-]:S[]#0,0-0,0:1:42:-:db-a:phoenix:ShardOwner:Read:6;1,0-2,0:2:42:-:db-b:dallas:ShardOwner:Read:6;3,0-4,0:2:42:-:db-a:phoenix:ShardOwner:Read:6#10,0-3,1:6:42:-:db-a:phoenix:ShardOwner:Write:6#err:shard 9 is not in the routing table:false#0,0-11,12:156:42:-:db-a:phoenix:ShardOwner:Read:3#0,0-0,0:1:42:-:db-a:phoenix:ShardOwner:Read:6;1,0-2,0:2:42:-:db-b:dallas:ShardOwner:Read:6;3,0-11,12:153:42:-:db-a:phoenix:ShardOwner:Read:6;0,0-0,0:1:42:-:db-a:phoenix:ShardOwner:Read:6;1,0-2,0:2:42:-:db-b:dallas:ShardOwner:Read:6;3,0-11,12:153:42:-:db-a:phoenix:ShardOwner:Read:6#err:shard 5 is not in the routing table:false
tblCellMigration	g6|db-a:phoenix:Unknown;db-b:dallas:Unknown|42:db-a:::R[-]:M[-]:S[]#true#42:1,0:db-a:phoenix:ShardOwner:Read:7#42:1,0:db-a:phoenix:ShardOwner:Write:7#42:1,0:db-a:phoenix:ShardOwner:Read:8#42:1,0:db-a:phoenix:ShardOwner:Write:8#42:0,0:db-a:phoenix:MigrationSource:Read:8#err:shard 42 is fenced for cutover from 'db-a' to 'db-b'; retry:true#42:1,0:db-a:phoenix:ShardOwner:Read:9#42:1,0:db-a:phoenix:ShardOwner:Write:9#42:0,0:db-b:dallas:MigrationDestination:Read:10#42:1,0:db-a:phoenix:ShardOwner:Read:10#42:1,0:db-a:phoenix:ShardOwner:Write:10#g10|db-a:phoenix:Unknown;db-b:dallas:Unknown|42:db-a:::R[-]:M[-]:S[0,0[-][42:db-a:db-b:true:db-b]]#g11|db-a:phoenix:Unknown;db-b:dallas:Unknown|42:db-a::0,0>db-b:R[-]:M[-]:S[]#42:0,0:db-b:dallas:ShardOwner:Write:11#42:1,0:db-a:phoenix:ShardOwner:Read:11#42:1,0:db-a:phoenix:ShardOwner:Write:11
tblCellReplicas	true#42:0,0:db-a:phoenix:Primary:Read:7;42:0,0:db-b:dallas:Secondary:Read:7#42:1,0:db-a:phoenix:ShardOwner:Read:7#g7|db-a:phoenix:Unknown;db-b:dallas:Unknown|42:db-a:::R[-]:M[-]:S[0,0[db-a:primary:in-sync,db-b:secondary:in-sync][-]]#g8|db-a:phoenix:Unknown;db-b:dallas:Unknown|42:db-a:::R[-]:M[-]:S[]#g8|db-a:phoenix:Unknown;db-b:dallas:Unknown|42:db-a:::R[-]:M[-]:S[]
