mechCutoverVerification	ok|complete|ok|complete|ok|g=2;rg=17;m=cutover/0/1/0/db-a/-;s=db-a:in-sync:P,db-b:seeding:S;o=db-a;r=db-a@MigrationSource;w=E:WriteFenced|running(900)|g=2;rg=19;m=cutover/0/1/0/db-a/-;s=db-a:in-sync:S,db-b:in-sync:P;o=db-a;r=db-a@MigrationSource;w=E:WriteFenced|complete|g=3;rg=23;m=cleanup/1/0/0/db-b/db-b;s=db-a:in-sync:S,db-b:in-sync:P;o=db-b;r=db-b@MigrationDestination;w=db-b@MigrationDestination|ok|complete|ok|complete|ok|g=2;rg=17;m=cutover/0/1/0/db-a/-;s=db-a:in-sync:P,db-b:seeding:S;o=db-a;r=db-a@MigrationSource;w=E:WriteFenced|fault(phase 'cutover' failed: the copy of shard 7 (3,4) onto 'db-b' did not verify against its source: 'Post:1' differs in `data`)|g=2;rg=19;m=cutover/0/1/0/db-a/-;s=db-a:in-sync:S,db-b:in-sync:P;o=db-a;r=db-a@MigrationSource;w=E:WriteFenced|restored|g=2;rg=22;m=aborted/0/0/0/db-a/db-a;s=db-a:in-sync:P;o=db-a;r=db-a@Primary;w=db-a@Primary
mechRoutingLearns	adds=db-b;removes=db-a;phases=prepare,transfer,cutover,cleanup;bytes=4096;auth=1|ok|g=2;rg=13;m=planned/0/0/0/db-a/db-a;s=db-a:in-sync:P,db-b:seeding:S;o=db-a;r=db-a@MigrationSource;w=db-a@MigrationSource|complete|ok|g=2;rg=14;m=copying/0/0/0/db-a/db-a;s=db-a:in-sync:P,db-b:seeding:S;o=db-a;r=db-a@MigrationSource;w=db-a@MigrationSource|running(0)|write=Ok(Source)|complete|g=2;rg=17;m=catching-up/0/0/1/db-a/db-a;s=db-a:in-sync:P,db-b:seeding:S;o=db-a;r=db-a@MigrationSource;w=db-a@MigrationSource|ok|g=2;rg=18;m=cutover/0/1/1/db-a/-;s=db-a:in-sync:P,db-b:seeding:S;o=db-a;r=db-a@MigrationSource;w=E:WriteFenced|running(900)|applied=Ok(())|complete|g=3;rg=25;m=cleanup/1/0/0/db-b/db-b;s=db-a:in-sync:S,db-b:in-sync:P;o=db-b;r=db-b@MigrationDestination;w=db-b@MigrationDestination|ok|complete|g=3;rg=27;m=completed/1/0/0/db-b/db-b;s=db-b:in-sync:P;o=db-b;r=db-b@Primary;w=db-b@Primary
mechSibling	adds=db-b;removes=db-a;phases=prepare,transfer,cutover,cleanup;bytes=4096;auth=1|g=2;rg=11;m=-;s=-;o=db-a;r=db-a@ShardOwner;w=db-a@ShardOwner|ok|g=2;rg=15;m=-;s=-;o=db-a;r=db-a@ShardOwner;w=db-a@ShardOwner|complete|g=2;rg=15;m=planned/0/0/0/db-a/db-a;s=db-a:in-sync:P,db-b:seeding:S;o=db-a;r=db-a@MigrationSource;w=db-a@MigrationSource|g=2;rg=15;m=-;s=-;o=db-a;r=db-a@ShardOwner;w=db-a@ShardOwner|ok|g=2;rg=16;m=-;s=-;o=db-a;r=db-a@ShardOwner;w=db-a@ShardOwner|complete|g=2;rg=18;m=catching-up/0/0/0/db-a/db-a;s=db-a:in-sync:P,db-b:seeding:S;o=db-a;r=db-a@MigrationSource;w=db-a@MigrationSource|g=2;rg=18;m=-;s=-;o=db-a;r=db-a@ShardOwner;w=db-a@ShardOwner|ok|g=2;rg=19;m=-;s=-;o=db-a;r=db-a@ShardOwner;w=db-a@ShardOwner|complete|g=3;rg=26;m=cleanup/1/0/0/db-b/db-b;s=db-a:in-sync:S,db-b:in-sync:P;o=db-b;r=db-b@MigrationDestination;w=db-b@MigrationDestination|g=3;rg=26;m=-;s=-;o=db-a;r=db-a@ShardOwner;w=db-a@ShardOwner|ok|g=3;rg=26;m=-;s=-;o=db-a;r=db-a@ShardOwner;w=db-a@ShardOwner|complete|g=3;rg=28;m=completed/1/0/0/db-b/db-b;s=db-b:in-sync:P;o=db-b;r=db-b@Primary;w=db-b@Primary|g=3;rg=28;m=-;s=-;o=db-a;r=db-a@ShardOwner;w=db-a@ShardOwner|shardwide=0;sibset=0;sibmig=0;sibling_has_set=0
mechRollbackBefore	ok|complete|ok|g=2;rg=14;m=copying/0/0/0/db-a/db-a;s=db-a:in-sync:P,db-b:seeding:S;o=db-a;r=db-a@MigrationSource;w=db-a@MigrationSource|restored|g=2;rg=16;m=aborted/0/0/0/db-a/db-a;s=db-a:in-sync:P;o=db-a;r=db-a@Primary;w=db-a@Primary|restored
mechRollbackAfter	ok|complete|ok|complete|ok|complete|g=3;rg=23;m=cleanup/1/0/0/db-b/db-b;s=db-a:in-sync:S,db-b:in-sync:P;o=db-b;r=db-b@MigrationDestination;w=db-b@MigrationDestination|irreversible(authority for shard 7 (3,4) already moved to 'db-b')|g=3;rg=24;m=failed/1/0/0/db-b/db-b;s=db-a:in-sync:S,db-b:in-sync:P;o=db-b;r=db-b@Primary;w=db-b@Primary
mechReplicate	adds=db-b;removes=;phases=prepare,transfer;bytes=4096;auth=0|ok|complete|g=2;rg=12;m=-;s=db-a:in-sync:P,db-b:seeding:S;o=db-a;r=db-a@Primary;w=db-a@Primary|ok|running(0)|complete|g=2;rg=13;m=-;s=db-a:in-sync:P,db-b:in-sync:S;o=db-a;r=db-a@Primary;w=db-a@Primary|fresh=2;shardwide=0
mechPlans	supports=1|adds=db-b;removes=db-a;phases=prepare,transfer,cutover,cleanup;bytes=4096;auth=1|supports=0|err(mechanism does not implement action 'split')|supports=0|err(mechanism does not implement action 'no-action')|supports=1|err(plan is infeasible: shard 7 (3,4) is already on 'db-a')|supports=1|err(plan is infeasible: action names no destination)|adds=db-c;removes=db-a;phases=prepare,transfer,cutover,cleanup;bytes=4096;auth=1
registry	reg=1|len=1|db-a:facet/1:0.13.0:us-east:1000:-:0:0:unreachable:-:0|db-a:facet/1:0.13.0:us-east:0:10000:1:1:healthy:0:1|db-a:facet/1:0.13.0:us-east:0:10000:1:1:healthy:30000:1|db-a:facet/1:0.13.0:us-east:0:10000:1:1:unreachable:30001:0|db-a:facet/1:0.13.0:us-east:0:10000:0:1:degraded:0:0|degradedServiceable=0|ghost=unknown node 'ghost': register before sending heartbeats;empty=1|db-a:facet/1:0.13.0:us-east:0:20000:1:2:healthy:0:1|rereg=0|db-a:facet/1:0.13.0:us-east:12000:-:0:0:unreachable:-:0|unhealthy=db-b,db-c|order=db-a,db-b,db-c
lib	Registered(db-a)|nodes=1|Acknowledged|clock=12000|db-a:facet/1:0.13.0:us-east:0:12000:1:1:healthy:0:1|Rejected(unknown node 'ghost': register before sending heartbeats)|nodes=0;clock=12000|clock=100000;stale=db-a;a=Unreachable;b=Serviceable|before=Serviceable|clock=20000;after=Unreachable|clock=20000|window=1024;first=2024;last=3047;analyzer=1;state=1|timeout=1234;mechs=fabric-placement|Acknowledged|clock=7000;analyzer=1;ops=10000;r=900;w=100;pressure=0
runtimeLoop	g=2;rg=39;m=-;s=-;o=db-a;r=db-a@ShardOwner;w=db-a@ShardOwner|decision=move:db-b;gain=803452;cost=500000;conf=892725|fleet=db-a:healthy:1:990:950,db-b:healthy:0:0:0,db-c:healthy:0:0:0;gen=2|submit=1;dest=db-b|3000:running:prepare|g=2;rg=61;m=planned/0/0/0/db-a/db-a;s=db-a:in-sync:P,db-b:seeding:S;o=db-a;r=db-a@MigrationSource;w=db-a@MigrationSource|rtowner=db-a|4000:running:transfer|g=2;rg=80;m=copying/0/0/0/db-a/db-a;s=db-a:in-sync:P,db-b:seeding:S;o=db-a;r=db-a@MigrationSource;w=db-a@MigrationSource|rtowner=db-a|write=Ok(Source)|5000:running:cutover|g=2;rg=101;m=cutover/0/1/1/db-a/-;s=db-a:in-sync:P,db-b:seeding:S;o=db-a;r=db-a@MigrationSource;w=E:WriteFenced|rtowner=db-a|applied=Ok(())|6000:running:cleanup|g=3;rg=125;m=cleanup/1/0/0/db-b/db-b;s=db-a:in-sync:S,db-b:in-sync:P;o=db-b;r=db-b@MigrationDestination;w=db-b@MigrationDestination|rtowner=db-b|7000:awaiting-measurement|g=3;rg=145;m=completed/1/0/0/db-b/db-b;s=db-b:in-sync:P;o=db-b;r=db-b@Primary;w=db-b@Primary|rtowner=db-b|measured=unchanged;realized=0;ratio=0|reports=1;mech=fabric-placement
controlLoopIsolate	target=shard 1 (0,0);source=us-east-db-0;clock=1700000005000|baseline:ops=12000000;r=100000;w=900000;cpu=990000;mem=950000;q=30000;p=906500|decision=isolate;gain=892725;cost=450000;conf=892725;exec=1|id=1;dest=us-west-db-0|g=2;rg=197;m=-;s=-;o=us-east-db-0;r=us-east-db-0@ShardOwner;w=us-east-db-0@ShardOwner|bytes=2450248;rate=100000|1700000006000:running:prepare|g=2;rg=233;m=planned/0/0/0/us-east-db-0/us-east-db-0;s=us-east-db-0:in-sync:P,us-west-db-0:seeding:S;o=us-east-db-0;r=us-east-db-0@MigrationSource;w=us-east-db-0@MigrationSource|1700000007000:running:transfer|g=2;rg=266;m=copying/0/0/0/us-east-db-0/us-east-db-0;s=us-east-db-0:in-sync:P,us-west-db-0:seeding:S;o=us-east-db-0;r=us-east-db-0@MigrationSource;w=us-east-db-0@MigrationSource|write=Ok(Source)|1700000008000:running:transfer|g=2;rg=299;m=copying/0/0/1/us-east-db-0/us-east-db-0;s=us-east-db-0:in-sync:P,us-west-db-0:seeding:S;o=us-east-db-0;r=us-east-db-0@MigrationSource;w=us-east-db-0@MigrationSource|1700000009000:running:cutover|g=2;rg=334;m=cutover/0/1/1/us-east-db-0/-;s=us-east-db-0:in-sync:P,us-west-db-0:seeding:S;o=us-east-db-0;r=us-east-db-0@MigrationSource;w=E:WriteFenced|fenced:g=2;rg=366;m=cutover/0/1/1/us-east-db-0/-;s=us-east-db-0:in-sync:P,us-west-db-0:seeding:S;o=us-east-db-0;r=us-east-db-0@MigrationSource;w=E:WriteFenced|applied=Ok(())|1700000010000:running:cleanup|g=3;rg=379;m=cleanup/1/0/0/us-west-db-0/us-west-db-0;s=us-east-db-0:in-sync:S,us-west-db-0:in-sync:P;o=us-west-db-0;r=us-west-db-0@MigrationDestination;w=us-west-db-0@MigrationDestination|mirrored|1700000011000:awaiting-measurement|g=3;rg=413;m=completed/1/0/0/us-west-db-0/us-west-db-0;s=us-west-db-0:in-sync:P;o=us-west-db-0;r=us-west-db-0@Primary;w=us-west-db-0@Primary|history=5;rtowner=us-west-db-0|after:ops=710230;r=81081;w=918919;cpu=422141;mem=377464;q=168;p=232442|verdict=improved;expected=892725;realized=674058;ratio=755057;latency=-57500000;throughput=-11289770|reports=1;mech=fabric-placement
